مــــ,الجامعة,اسم الجامعة,نوع البند,تصنيف البند,العام الدراسي,قيمة البند,العملة
156,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 25 - 26,غير معبأة,SYP
157,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 23 - 24,غير معبأة,USD
158,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 24 - 25,غير معبأة,USD
159,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 25 - 26,غير معبأة,USD
160,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 23 - 24,غير معبأة,USD
161,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 24 - 25,غير معبأة,USD
162,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 25 - 26,غير معبأة,USD
163,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 23 - 24,غير معبأة,USD
164,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 24 - 25,غير معبأة,USD
165,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 25 - 26,غير معبأة,USD
166,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 23 - 24,غير معبأة,USD
167,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 24 - 25,غير معبأة,USD
168,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 25 - 26,غير معبأة,USD
169,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 23 - 24,غير معبأة,SYP
170,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 24 - 25,غير معبأة,SYP
171,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 25 - 26,غير معبأة,SYP
172,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 23 - 24,غير معبأة,SYP
173,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 24 - 25,غير معبأة,SYP
174,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 25 - 26,غير معبأة,SYP
175,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 23 - 24,غير معبأة,SYP
176,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 24 - 25,غير معبأة,SYP
177,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 25 - 26,غير معبأة,SYP
178,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 23 - 24,غير معبأة,SYP
179,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 24 - 25,غير معبأة,SYP
180,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 25 - 26,غير معبأة,SYP
181,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 23 - 24,غير معبأة,USD
182,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 24 - 25,غير معبأة,USD
183,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 25 - 26,غير معبأة,USD
184,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 23 - 24,غير معبأة,USD
185,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 24 - 25,غير معبأة,USD
186,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 25 - 26,غير معبأة,USD
187,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 23 - 24,غير معبأة,USD
188,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 24 - 25,غير معبأة,USD
189,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 25 - 26,غير معبأة,USD
190,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 23 - 24,غير معبأة,USD
191,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 24 - 25,غير معبأة,USD
192,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 25 - 26,غير معبأة,USD
193,المنارة,جامعة المنارة,مصروفات,مصروفات رأسمالية,العام الدراسي 23 - 24,529٬387٬200٫00,SYP
194,المنارة,جامعة المنارة,مصروفات,مصروفات رأسمالية,العام الدراسي 24 - 25,438٬314٬800٫00,SYP
195,المنارة,جامعة المنارة,مصروفات,مصروفات رأسمالية,العام الدراسي 25 - 26,419٬472٬180٫00,SYP
196,المنارة,جامعة المنارة,مصروفات,رواتب وأجور,العام الدراسي 23 - 24,10٬396٬016٬252٫00,SYP
197,المنارة,جامعة المنارة,مصروفات,رواتب وأجور,العام الدراسي 24 - 25,18٬476٬307٬164٫00,SYP
198,المنارة,جامعة المنارة,مصروفات,رواتب وأجور,العام الدراسي 25 - 26,21٬239٬296٬028٫00,SYP
199,المنارة,جامعة المنارة,مصروفات,مصروفات تشغيلية,العام الدراسي 23 - 24,17٬170٬907٬005٫00,SYP
200,المنارة,جامعة المنارة,مصروفات,مصروفات تشغيلية,العام الدراسي 24 - 25,27٬254٬445٬672٫00,SYP
201,المنارة,جامعة المنارة,مصروفات,مصروفات تشغيلية,العام الدراسي 25 - 26,25٬415٬469٬826٫00,SYP
202,المنارة,جامعة المنارة,مصروفات,ضرائب,العام الدراسي 23 - 24,متضمنة ضمن تكلفة الرواتب والأجور,SYP
